          specobjid         ra        dec
 591140095671691264 198.468320   2.132587
 592336914363738112 199.903530   3.032603
 593355887268096000 203.128180   1.847711
 594512843009714176 203.852300   1.410558
 594570292492265472 203.104590   3.061243
 594578813707380736 203.457730   3.315857
 594592832480634880 203.951030   2.998927
 594596955649239040 204.088300   3.330885
 865828374356977664 148.627360  53.169177
 865881975548831744 146.993480  54.014769
 866958359717242880 150.966180  59.436205
 867004539205609472 149.252600  59.968878
1088894512845056000 176.288550  49.718795
1088904133571799040 176.485870  50.199786
1089977253162412032 177.805970  50.156900
1091056424328390656 181.192460  49.186587
1673248115357935616 354.131040   0.297275
1895048205414983680 243.609050  35.109157
2115598985434523648 150.830460  68.734521
2115678974905444352 148.965490  69.680177
2497307630049978368 171.861050  26.680996
2497360406608111616 172.082990  27.622098
2497393666834851840 172.422600  28.259830
2497399164392990720 173.009110  27.005766
2498497851387045888 173.987980  28.196755
2501900289833986048 177.013980  30.359329
2841922349480044544 241.361770  15.025336
2844058975685601280 242.398710   8.956702
2844074368848390144 241.981940   9.463669
2844133467598383104 241.741460  10.751174
 488650761677334528 118.660230  42.544112
 488673301665703936 118.063650  42.249827
 488692543119190016 116.787120  42.078714
 488732400415696896 116.703570  43.374830
 488757964061042688 116.988130  43.144186
 488769783811041280 117.412490  42.967067
 488781603561039872 117.898460  42.880109
 489768415196637184 118.603660  39.371520
 777019132846565376   9.805869   0.864101
1046000089421604864 120.087440  26.613535
1554946988011710464 215.619740  37.122197
1556046774953601024 219.342260  36.567855
1556056395680344064 218.959000  36.543232
1853365720646182912 221.587900  34.370572
2107783088707758080 121.960580  56.693486
2112230081572136960 135.578550  63.805487
2112312544944220160 135.094270  64.914387
2112349378583750656 137.482450  64.423586
2394808133173143552 214.623890  26.287846
2394906264585922560 213.563250  26.747621
2830528648728045568 179.098660  23.867955
2832766435791497216 236.806930  10.751978
2832796397483354112 236.176470  11.492267
2832869240128694272 234.715420  12.080651
2832899751576365056 235.626030  11.603790
3240373267030108160  22.361805 -10.654309
3240437313582426112  20.995763  -9.564989
3240444460408006656  21.607945  -8.564201
3242621494169200640 186.494030   4.474003
3242677844140124160 185.318580   4.595706
3242713303390119936 185.842800   6.040718
 474121539076253696  14.917142  15.330978
 914245057467410432 239.262550  48.168395
 914363529845303296 237.920890  49.378400
1494128321787619328 219.378210  51.561860
1820719014918252544 170.513860   7.813529
1825096999888775168 177.636030   6.567572
1826240766893123584 179.361300   7.460945
2352036025284454400 182.331730  34.070181
2352039873575151616 181.885940  32.812988
2352080280627472384 180.856580  33.780503
2568210460239226880 133.968660  18.156481
2917303759988090880 155.793480  17.962761
2920700976660768768 159.334430  17.031131
2921747987111634944 180.863870  16.485717
2921831824873252864 181.046230  18.444576
3243737773231859712 177.266820  59.432686
3243838103667894272 174.494810  59.616962
3243869989505099776 176.020450  60.119787
3246144879448844288 233.509560  56.685714
3247247139872466944 245.574220  50.371979
3247252637430605824 245.913300  50.969590
3249415926088493056 162.859690   8.298692
 702586870516705280 246.517760  46.368276
1029194606295672832 208.559390  -1.436480
1030318577393100800 210.169030  -1.921744
1033710844988385280 217.041770  -1.676845
1848778826587334656 210.350100  36.800089
1848782400000124928 210.455050  37.009403
2045881966254909440 228.400820   8.085745
2278975126970066944 207.460730  33.621752
2279949293064316928 162.479470  32.990821
2662849274802366464 153.158040  22.291842
2663960881091602432 155.100630  21.356285
2666259685312587776 142.027700  17.196499
2984863807869839360 197.904330  22.915491
1002128201117362176 117.499810  30.746889
1002170257437124608 118.319860  32.543751
1002210389611538432 119.266330  33.083300
1002213138390607872 119.440250  32.558116
1004456688427755520 123.241340  36.254626
1005512498008320000 123.106110  37.730217
1204732735000700928  40.666100  -0.016290
1426645798166226944 126.575240  27.840130
