        ra        dec
161.188350  -0.252750
161.305600  -0.239324
161.235360  -0.347209
161.249110  -0.223713
161.377020  -0.257920
161.434420  -0.301066
161.639630  -0.361381
161.963630  -0.277821
161.945590  -0.367845
162.064590  -0.365409
162.151650  -0.236004
153.516760   0.087641
153.566480   0.075081
153.726800   0.019464
153.747700   0.084820
154.219790   0.044587
154.223400   0.078503
154.259090   0.057946
154.628330   0.084729
155.295910   0.030590
155.391650   0.074351
155.444160   0.055573
155.764310   0.006997
156.687620   0.084529
156.766410   0.063466
156.816310   0.012907
157.545800   0.010491
158.313420   0.000843
158.455030   0.161521
158.536050   0.001040
158.683100   0.162924
158.613260   0.067214
158.912740   0.055791
159.045520   0.138868
159.423060   0.091798
159.315780   0.080529
159.562160   0.010316
159.818310   0.101077
160.577250   0.138846
160.594290   0.128454
160.635880   0.020746
160.824150   0.099760
160.811350   0.199438
160.813170   0.023209
160.880190   0.208258
161.051390   0.151792
161.103960   0.017378
161.206090   0.193191
161.562000   0.050263
161.681370   0.023342
161.742890   0.175942
161.907420   0.083870
162.004050   0.172385
162.175070   0.007052
152.779590   0.505467
153.866950   0.460297
153.973370   0.424167
154.224250   0.482542
154.301460   0.470213
154.347960   0.475238
154.420490   0.443456
154.632760   0.420676
154.727740   0.434752
155.516020   0.470043
156.242130   0.448998
156.554430   0.426489
156.556410   0.467657
156.558690   0.504233
157.453770   0.484559
157.464930   0.500796
157.745210   0.498849
157.793580   0.488816
157.896490   0.475375
158.114440   0.500867
158.727390   0.565305
158.704640   0.592561
158.868820   0.487832
158.952030   0.583489
159.257350   0.485519
159.329150   0.601672
159.398490   0.421675
159.910280   0.512958
160.062240   0.556997
160.319310   0.425912
160.319540   0.465600
160.346470   0.571713
160.627290   0.578335
160.925350   0.468658
160.946880   0.524873
160.974720   0.460984
161.265020   0.434417
161.255560   0.601628
161.262750   0.537855
161.292630   0.464136
161.476500   0.602380
